Epoch: 078, Train loss: 0.8317, Val loss: 0.9486, Test acc: 0.5150
Epoch: 079, Train loss: 0.9438, Val loss: 0.9469, Test acc: 0.5140
Epoch: 080, Train loss: 0.8361, Val loss: 0.9456, Test acc: 0.5150
Epoch: 081, Train loss: 0.8922, Val loss: 0.9418, Test acc: 0.5320
Epoch: 082, Train loss: 0.8267, Val loss: 0.9547, Test acc: 0.4830
Epoch: 083, Train loss: 0.8613, Val loss: 1.0067, Test acc: 0.4310
Epoch: 084, Train loss: 0.8226, Val loss: 0.9967, Test acc: 0.4790
Epoch: 085, Train loss: 0.8097, Val loss: 0.9670, Test acc: 0.5210
Epoch: 086, Train loss: 0.8165, Val loss: 1.1701, Test acc: 0.4270
Epoch: 087, Train loss: 1.1279, Val loss: 0.9296, Test acc: 0.5540
Epoch: 088, Train loss: 0.8365, Val loss: 0.9377, Test acc: 0.5230
Epoch: 089, Train loss: 0.7980, Val loss: 0.9595, Test acc: 0.4780
Epoch: 090, Train loss: 0.8888, Val loss: 0.9569, Test acc: 0.5020
Epoch: 091, Train loss: 0.8850, Val loss: 0.9547, Test acc: 0.4950
Epoch: 092, Train loss: 0.7937, Val loss: 0.9420, Test acc: 0.5020
Epoch: 093, Train loss: 0.9191, Val loss: 0.9508, Test acc: 0.5030
Epoch: 094, Train loss: 0.8470, Val loss: 0.9528, Test acc: 0.5040
Epoch: 095, Train loss: 0.9324, Val loss: 0.9553, Test acc: 0.5010
Epoch: 096, Train loss: 0.9267, Val loss: 0.9539, Test acc: 0.4950
Epoch: 097, Train loss: 0.8366, Val loss: 0.9532, Test acc: 0.4970
Epoch: 098, Train loss: 0.7820, Val loss: 0.9516, Test acc: 0.5040
Epoch: 099, Train loss: 0.8970, Val loss: 0.9527, Test acc: 0.5080
Epoch: 100, Train loss: 0.8354, Val loss: 0.9629, Test acc: 0.5010
Epoch: 101, Train loss: 0.8282, Val loss: 0.9713, Test acc: 0.4980
Epoch: 102, Train loss: 0.8186, Val loss: 0.9765, Test acc: 0.4910
Epoch: 103, Train loss: 0.9005, Val loss: 0.9926, Test acc: 0.4640
Epoch: 104, Train loss: 0.7931, Val loss: 0.9795, Test acc: 0.4830
Epoch: 105, Train loss: 0.8250, Val loss: 0.9731, Test acc: 0.4990
Epoch: 106, Train loss: 0.9462, Val loss: 0.9650, Test acc: 0.4980
Epoch: 107, Train loss: 0.8018, Val loss: 0.9535, Test acc: 0.5040
Epoch: 108, Train loss: 0.8411, Val loss: 0.9466, Test acc: 0.4890
Epoch: 109, Train loss: 0.9164, Val loss: 0.9436, Test acc: 0.4860
Epoch: 110, Train loss: 0.9018, Val loss: 0.9395, Test acc: 0.4780
Epoch: 111, Train loss: 0.8835, Val loss: 0.9453, Test acc: 0.4760
Epoch: 112, Train loss: 0.7597, Val loss: 0.9409, Test acc: 0.4870
Epoch: 113, Train loss: 0.8969, Val loss: 0.9413, Test acc: 0.4890
Epoch: 114, Train loss: 0.9117, Val loss: 0.9496, Test acc: 0.4780
Epoch: 115, Train loss: 0.8535, Val loss: 0.9555, Test acc: 0.4760
Epoch: 116, Train loss: 0.9314, Val loss: 0.9552, Test acc: 0.4830
Epoch: 117, Train loss: 0.9296, Val loss: 0.9558, Test acc: 0.5030
Epoch: 118, Train loss: 0.8775, Val loss: 0.9609, Test acc: 0.4900
Epoch: 119, Train loss: 0.8715, Val loss: 0.9611, Test acc: 0.4780
Epoch: 120, Train loss: 0.8741, Val loss: 0.9273, Test acc: 0.5030
Epoch: 121, Train loss: 0.9140, Val loss: 0.9236, Test acc: 0.5260
Epoch: 122, Train loss: 0.8239, Val loss: 0.9303, Test acc: 0.5360
Epoch: 123, Train loss: 0.8493, Val loss: 0.9380, Test acc: 0.5050
Epoch: 124, Train loss: 0.9013, Val loss: 0.9498, Test acc: 0.4870
Epoch: 125, Train loss: 0.8695, Val loss: 0.9541, Test acc: 0.4830
Epoch: 126, Train loss: 0.8662, Val loss: 0.9497, Test acc: 0.4950
Epoch: 127, Train loss: 0.8667, Val loss: 0.9467, Test acc: 0.4940
Epoch: 128, Train loss: 0.8679, Val loss: 0.9382, Test acc: 0.4960
Epoch: 129, Train loss: 0.9611, Val loss: 0.9381, Test acc: 0.4980
Epoch: 130, Train loss: 0.9458, Val loss: 0.9461, Test acc: 0.4850
Epoch: 131, Train loss: 0.8684, Val loss: 0.9492, Test acc: 0.4840
Epoch: 132, Train loss: 0.8684, Val loss: 0.9464, Test acc: 0.4940
Epoch: 133, Train loss: 0.8828, Val loss: 0.9558, Test acc: 0.4970
Epoch: 134, Train loss: 0.9155, Val loss: 0.9587, Test acc: 0.4980
Epoch: 135, Train loss: 0.8673, Val loss: 0.9649, Test acc: 0.4950
Epoch: 136, Train loss: 0.9447, Val loss: 0.9604, Test acc: 0.4930
Epoch: 137, Train loss: 0.9224, Val loss: 0.9568, Test acc: 0.5010
Epoch: 138, Train loss: 0.8751, Val loss: 0.9400, Test acc: 0.4910
Epoch: 139, Train loss: 0.8612, Val loss: 0.9249, Test acc: 0.5240
Epoch: 140, Train loss: 0.9423, Val loss: 0.9215, Test acc: 0.5000
Epoch: 141, Train loss: 0.9102, Val loss: 0.9377, Test acc: 0.4930
Epoch: 142, Train loss: 0.8787, Val loss: 0.9497, Test acc: 0.4870
Epoch: 143, Train loss: 0.8205, Val loss: 0.9411, Test acc: 0.4930
Epoch: 144, Train loss: 0.8415, Val loss: 0.9213, Test acc: 0.4960
