000,1.9464,1.9459,0.1400
001,1.9447,1.9452,0.2140
002,1.9439,1.9446,0.2830
003,1.9437,1.9440,0.3300
004,1.9406,1.9434,0.4120
005,1.9411,1.9428,0.4840
006,1.9396,1.9422,0.5370
007,1.9375,1.9416,0.5620
008,1.9370,1.9410,0.5890
009,1.9353,1.9405,0.6160
010,1.9351,1.9399,0.6310
011,1.9347,1.9393,0.6590
012,1.9325,1.9389,0.6700
013,1.9340,1.9386,0.6850
014,1.9326,1.9385,0.6850
015,1.9313,1.9384,0.6850
016,1.9351,1.9383,0.6870
017,1.9339,1.9382,0.6960
018,1.9275,1.9383,0.6970
019,1.9335,1.9384,0.6820
020,1.9326,1.9385,0.6810
021,1.9329,1.9388,0.6740
022,1.9349,1.9391,0.6600
023,1.9332,1.9394,0.6600
024,1.9357,1.9397,0.6500
025,1.9352,1.9401,0.6370
026,1.9349,1.9405,0.6190
027,1.9339,1.9408,0.6100
028,1.9352,1.9412,0.5780
029,1.9349,1.9415,0.5480
030,1.9367,1.9418,0.5200
031,1.9383,1.9421,0.5030
032,1.9384,1.9423,0.4990
033,1.9373,1.9425,0.4920
034,1.9371,1.9427,0.4830
035,1.9387,1.9429,0.4610
036,1.9384,1.9431,0.4450
037,1.9397,1.9433,0.4430
038,1.9398,1.9434,0.4490
039,1.9400,1.9435,0.4450
040,1.9415,1.9436,0.4410
041,1.9398,1.9437,0.4340
042,1.9414,1.9438,0.4270
043,1.9418,1.9439,0.4290
044,1.9420,1.9440,0.4370
045,1.9425,1.9441,0.4410
046,1.9424,1.9442,0.4460
047,1.9420,1.9443,0.4620
048,1.9424,1.9444,0.4660
049,1.9433,1.9445,0.4720
050,1.9433,1.9446,0.4780
051,1.9431,1.9447,0.4710
052,1.9437,1.9448,0.4630
053,1.9435,1.9449,0.4460
054,1.9436,1.9449,0.4270
055,1.9437,1.9450,0.3960
056,1.9438,1.9451,0.3510
057,1.9440,1.9452,0.3340
058,1.9443,1.9452,0.3100
059,1.9441,1.9453,0.3020
060,1.9443,1.9453,0.2910
061,1.9443,1.9453,0.2860
062,1.9446,1.9454,0.2890
063,1.9448,1.9454,0.3010
064,1.9448,1.9454,0.3060
065,1.9451,1.9455,0.3050
066,1.9448,1.9455,0.3010
067,1.9450,1.9455,0.2940
068,1.9450,1.9455,0.2840
069,1.9450,1.9456,0.2760
070,1.9447,1.9456,0.2540
071,1.9451,1.9456,0.2410
072,1.9454,1.9457,0.2320
073,1.9452,1.9457,0.2240
074,1.9454,1.9457,0.2270
075,1.9454,1.9457,0.2370
076,1.9454,1.9457,0.2470
077,1.9454,1.9457,0.2550
078,1.9455,1.9457,0.2620
079,1.9454,1.9457,0.2700
080,1.9455,1.9458,0.2660
081,1.9455,1.9458,0.2550
082,1.9456,1.9458,0.2410
083,1.9456,1.9458,0.2310
084,1.9456,1.9458,0.2200
085,1.9456,1.9458,0.2170
086,1.9457,1.9458,0.2140
087,1.9457,1.9458,0.2130
088,1.9456,1.9458,0.2180
089,1.9456,1.9458,0.2110
090,1.9457,1.9458,0.1950
091,1.9456,1.9458,0.1770
092,1.9457,1.9458,0.1640
093,1.9457,1.9459,0.1560
094,1.9458,1.9459,0.1470
095,1.9458,1.9459,0.1430
096,1.9458,1.9459,0.1420
097,1.9458,1.9459,0.1430
098,1.9458,1.9459,0.1520
099,1.9458,1.9459,0.1590
100,1.9458,1.9459,0.1720
101,1.9458,1.9459,0.1860
102,1.9458,1.9459,0.2070
103,1.9458,1.9459,0.2130
104,1.9458,1.9459,0.2140
105,1.9458,1.9459,0.2040
106,1.9458,1.9459,0.1910
107,1.9459,1.9459,0.1810
108,1.9458,1.9459,0.1710
109,1.9458,1.9459,0.1530
110,1.9458,1.9459,0.1380
111,1.9459,1.9459,0.1270
112,1.9459,1.9459,0.1160
113,1.9459,1.9459,0.1110
114,1.9459,1.9459,0.1090
115,1.9459,1.9459,0.1090
116,1.9459,1.9459,0.1060
117,1.9459,1.9459,0.1030
